id,fecha,texto
1988646786014286029,2025-11-12T16:35:15.000Z,"Y eso que?? Los de morena están con narcos y todos callados estos infelices están tratando de culpar al propio Carlos Manzo de su asesinato?

VIDEO exhibe a Carlos Manzo con Moreira, Alazraki, Aguilar y otros cuadros de derecha https://t.co/5q6rZNIUPT"
1988646626983080380,2025-11-12T16:34:37.000Z,"Mensaje para el nuevo secretario de la defensa nacional, Ricardo Trevilla. 

Su protocolo de defensa a Carlos Manzo si falló, lo mataron, hijo de tu reputísima madre. 

Es todo. https://t.co/E0XUt673ql"
1988646624814596330,2025-11-12T16:34:37.000Z,"@laadelita3 Los chairos una vez se convirtió en simbolo del fracaso de la 4T, abandonan a uno de los suyos, Carlos Manzo y ahora resulta que no era de Morena. Ja ja."
1988646614882554318,2025-11-12T16:34:34.000Z,"Estos criminales son a los que enfrentaba Carlos Manzo, y a los que la cerda de Viri Ríos defiende. https://t.co/12dUVXjmU4"
1988646611795505316,2025-11-12T16:34:34.000Z,"@Claudiashein Les encanta mentir, y Carlos Manzo, Que hay del aumento del 74% en desapariciones forzadas."
1988646604229005385,2025-11-12T16:34:32.000Z,"En serio!!! No tiene vergüenza este gobierno, ni respeto por sus familiares de Carlos Manzo qepd, sabrá lo que están sufriendo esos niños y esposa acaso, muy aparte de sus riñas políticas https://t.co/R16DPLGivd"
1988646479951696115,2025-11-12T16:34:02.000Z,@Marcos_Mtz84 @generacionz_mx Como a carlos Manzo???
1988646397542093296,2025-11-12T16:33:43.000Z,"@Marcos_Mtz84 @generacionz_mx No protegió a Carlos Manzo, ni se pudo proteger a ella misma. Que mensadas dices???"
1988646271650071023,2025-11-12T16:33:13.000Z,"#MañaneraPresidenta || “A mí me parece terrible (…) no les importa nada más que ellos mismos”. La mandataria mexicana responde a las declaraciones del expresidente Vicente Fox, quien celebró el homicidio de Carlos Manzo para ser utilizado políticamente contra el actual gobierno. https://t.co/1okmw2GXyV"
1988646237428691131,2025-11-12T16:33:04.000Z,@carolhsolis Fue culpa de Carlos Manzo que no se dejó cuidar https://t.co/61NrDNOkb0
1988646009094992321,2025-11-12T16:32:10.000Z,"15 de Noviembre Mexico se levanta por Carlos Manzo, Horacio, Cesar, Leticia, Bernardo, Berenice, Madres buscadoras y todas las personas asesinadas, secuestradas, mutiladas, extorsionadas, desaparecidas… https://t.co/VxKt4jfQYR"
1988645973812511129,2025-11-12T16:32:02.000Z,"Ejemplo de politico preocupado genuinamente por su pueblo. No como otros que no sirven para nada.
Honremos la memoria de Carlos Manzo este 15 de Noviembre. https://t.co/zctqXH7yaz"
1988645888634593681,2025-11-12T16:31:41.000Z,"Entro a X a ver porno y me entró de todo menos poro:

1. La aprobación de Claudia del 70%
2. El palacio blindado
3. Carlos Manzo corrupto
4. Ricardo salinas llorando por los impuestos a pagar.

Ya con todo eso ni ganas de jalármela pinche X apestas."
1988645756522443178,2025-11-12T16:31:10.000Z,@MONCAYOJUAN Aquí esta la prueba de que Carlos Manzo andaba en algo chueco. https://t.co/a2RZYMzSwW
1988645575995396151,2025-11-12T16:30:27.000Z,"Pos la neta soy  Ateo (Gracias  Dios)
Pero  si  el Tío Rico de X  @RicardoBSalinas  se avienta  a la  presidencia  con el  estandarte  Guadalupano  
POR  SUPUESTO  que  tiene el  apoyo  de TODA  mi  familia !!
https://t.co/8u56HeAyK7
García Luna 
Carlos Manzo 
Uruapan
Michoacan"
1988645535331577940,2025-11-12T16:30:17.000Z,"@rthur013 ALGO MUCHO PEOR HIZO CARLOS MANZO: SE REUNIÓ CON LOS CRIMINALES PRIANISTAS RUBÉN MOREIRA Y JESUS ORTEGA.
ESOS SI QUE SON DELINCUENTES !! https://t.co/7GVaipVxyN"
1988645463562633675,2025-11-12T16:30:00.000Z,".@asilascosasw | Movimiento del Sombrero: Guadalupe Mendoza Arias llama a honrar el legado de #CarlosManzo contra la corrupción.
https://t.co/uS7xycJOj4"
1988645397498376598,2025-11-12T16:29:44.000Z,@DerechaDiarioMX Así anda la lagartija chichis de limón a la que le dieron su Arrimón y manoseada para que se dejara de hablar del asesinato de Carlos Manzo. ahora anda cazando promotores de la marcha de la Generación Z @generacionz_mx. Están apanicados en el #NarcoGobiernoComunistaDeMorena https://t.co/jnwYOS8rVs
1988645379081175552,2025-11-12T16:29:40.000Z,@Morena_Durango_ Si!! Viva Carlos Manzo y todos los mártires y caudillos michoacanos que murieron asesinados por los socios del gobierno pero no los doblegaron!! Viva Grecia Quiroz! Porque con ella si llegamos todas y ahí si hay mujeron e inteligencia.
1988645374291300413,2025-11-12T16:29:39.000Z,"A comienzos de este mes, Carlos Manzo —un influyente alcalde conocido por su línea dura contra el crimen organizado— fue asesinado en Uruapan, en Michoacán, durante una ceremonia de encendido de velas por el Día de Muertos. https://t.co/Ni06K6Ce6c"
1988645321371717907,2025-11-12T16:29:26.000Z,"@anaizquirda2018 La izquierda tiene 22 años gobernando Michoacán.

Ahí van más morenistas que pertenecen al narco en voz de Carlos Manzo. https://t.co/bDmasFZEVI"
1988645308155261254,2025-11-12T16:29:23.000Z,"@AristeguiOnline La CNTE acordó el paro del 13 y 14 de noviembre en el marco del Buen fin, antes de que asesinaran a Carlos Manzo. La señora Aristegui difama y calumnia a la CNTE al decir que le hace el juego a la 4T. Ciertamente está al mismo nivel que López Dóriga y Loret. https://t.co/CXsvlNKRMP"
1988645303130485044,2025-11-12T16:29:22.000Z,"🎨🖌️Un mural en homenaje a Carlos Manzo Rodríguez (alcalde de Uruapan asesinado el 1 de noviembre) y Bernardo Bravo Manríquez (líder limonero de Apatzingán ejecutado el 19 de octubre) fue borrado en Apatzingán, Michoacán. La obra, realizada por el colectivo ""Residencia Tathoo https://t.co/9PTR8oiKEp"
1988645277277053224,2025-11-12T16:29:16.000Z,"Dice él secretario de la defensa que su proto CV olí de protección a Carlos Manzo NO FALLÓ , imagínate si hubiera fallado ? Hubiera sido una masacre ? O lo habrían fusilado dos veces ?"
1988645220309934577,2025-11-12T16:29:02.000Z,"@jgnaredo @Claudiashein @FelipeCalderon ¡Sin escrupulos, malparidos, sanganos, asesinos! Aunque quieran manchar su legado todo el sexenio les recordaremos su omisión al grito desesperado de auxilio de Don Carlos Manzo. Nos vemos en 15 en las calles inútiles. https://t.co/S4N7ihfQ5W"
1988645124113584374,2025-11-12T16:28:39.000Z,@Bernardieux Porque investigar la muerte de Carlos Manzo no les interesa.
1988645013505609762,2025-11-12T16:28:13.000Z,"@CarlRamirezA @AbogCrist_mx @AbogadosCrist Mas les vale cbnes, @Claudiashein acaban de matar a Carlos Manzo Alcalde Cristero, en la cuna del Movimiento Cristero y sus mártires.  Viva Cristo Rey"
1988644865794769031,2025-11-12T16:27:37.000Z,@RicardoBSalinas El protocolo no falló porque la finalidad era acabar con la vida de Carlos Manzo
1988644783649386702,2025-11-12T16:27:18.000Z,@bereaguilarv @Codigo_Magenta Para no perder o para no poder recuperar? Se perdió desde Calderón como bien lo dijo Carlos Manzo
1988644649008025830,2025-11-12T16:26:46.000Z,VIVA CARLOS MANZO UN HÉROE NACIONAL...¡Echa un vistazo al vídeo de CronicasDelSilencio1! #TikTok https://t.co/Pk6RiYVuiH
1988644619467567334,2025-11-12T16:26:39.000Z,"@MLopezSanMartin Le tienen miedo a la generación Z. 
Su apoyo son los viejitos becados.
Tienen miedo a la memoria de Carlos Manzo.
Por éso tratan de enlodar su legado. 
Son unos despiadados miserables."
1988644545782067368,2025-11-12T16:26:21.000Z,A Carlos Manzo lo mató el estado. Ricardo Trevilla Trejo falló. #ferrizt... https://t.co/seCNwwaqwe vía @YouTube @marcorubio @defense_civil25 @homesecurity_4u @washingtonpost @nytimes @SEDENA_MEX @Defensamx1 @OHarfuch @Claudiashein @AlemaniaMexi @embjpmx @FranciaenMexico
1988644425996939479,2025-11-12T16:25:53.000Z,"@catrina_nortena @carlosalazraki @rubenmoreiravdz Filmaron el show-PRIAN que le dieron a Carlos Manzo para “advertirlo”  y después lo filtraron para demostrar que lo “querían” tanto que hasta le advirtieron…
…lo que no advirtieron es que Ramirez Cuevas estaba escondido en la cueva inmunda de Alazraki 🤦🏻‍♀️

AZI NO RAMIREZ CUEVAS"
1988644360330887499,2025-11-12T16:25:37.000Z,"@Juan_OrtizMX Si. La OPOSICION A LA INSECURIDAD
Si. La OPOSICION A SUS ALIANZAS CON EL CO
Si. La OPOSICION AL ABUSO DE PODER CONTRA EL PUEBLO. 
15 de Noviembre Mexico es Carlos Manzo, Horacio, Leticia, Madres buscadoras y todas las personas asesinadas, secuestradas, mutiladas, extorsionadas."
1988644235772654057,2025-11-12T16:25:07.000Z,"Investigue quienes mataron a Carlos Manzo, esas mamadas que https://t.co/RtYIdcH4HX"
